what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198863537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198865960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198873549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198876462
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198879035
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198879083
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304198881437
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198881686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198881747
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304198890338
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198890568
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198890604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198895523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198901078
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198904222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198910319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198912027
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304198913126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304198913831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198926195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198927665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198932917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198937367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304198940052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198945723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198949942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304198951505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304198956694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198960742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198962161
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198965212
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304198965864
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198966036
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198968214
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198968214
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304198969673
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198969864
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198969925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198983628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198983745
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198983787
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198983819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304198986090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198987872
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198987872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198993090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198993233
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198993291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198993321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1304198994337
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198995503
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304198995503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304198998334
