"BlockProxy","_aa_","Block","moCreatures/proxies","0"
"EntityAnimalProxy","_ab_","EntityAnimal","moCreatures/proxies","0"
"EntityItemProxy","_ac_","EntityItem","moCreatures/proxies","0"
"EntityLivingProxy","_ad_","EntityLiving","moCreatures/proxies","0"
"EntityMobProxy","_ae_","EntityMob","moCreatures/proxies","0"
"EntityPlayerProxy","_af_","EntityPlayer","moCreatures/proxies","0"
"EntityProxy","_ag_","Entity","moCreatures/proxies","0"
"EntityWaterMobProxy","_ah_","EntityWaterMob","moCreatures/proxies","0"
"ItemProxy","_ai_","Item","moCreatures/proxies","0"
"ManifestManager","_ba_","","moCreatures/utils","0"
