what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1306345588903
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1306345588915
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1306345588918
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1306345588926
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1306345588926
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1306345588931
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1306345588934
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1306345588938
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1306345588939
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1306345588941
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1306345588942
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1306345588947
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1306345588955
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1306345588965
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1306345588974
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1306345588981
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1306345588986
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1306345588986
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1306345588992
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1306345589001
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1306345589001
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1306345589002
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1306345589007
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1306345589017
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1306345589018
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1306345589035
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1306345589035
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1306345589040
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1306345589049
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1306345589050
os,sysinfo,,,"win32",1306345589052
arch,sysinfo,,,"x86_64",1306345589052
ws,sysinfo,,,"win32",1306345589052
locale,sysinfo,,,"fr_FR",1306345589052
processors,sysinfo,,,"4",1306345589052
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1306345589052
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1306345589052
java.specification.name,sysinfo,,,"Java Platform API Specification",1306345589052
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306345589052
java.specification.version,sysinfo,,,"1.6",1306345589052
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1306345589052
java.version,sysinfo,,,"1.6.0_24",1306345589052
java.vm.info,sysinfo,,,"mixed mode",1306345589052
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1306345589052
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1306345589052
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306345589052
java.vm.specification.version,sysinfo,,,"1.0",1306345589052
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1306345589052
java.vm.version,sysinfo,,,"19.1-b02",1306345589052
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1306345589434
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1306345589473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345612874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345644535
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1306345666160
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1306345666169
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1306345666180
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1306345666216
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1306345666251
started,bundle,org.tigris.subversion.subclipse.core,1.0.0,"org.tigris.subversion.subclipse.core",1306345666279
started,bundle,org.tigris.subversion.subclipse.ui,1.0.0,"org.tigris.subversion.subclipse.ui",1306345666336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345741230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345771851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345775343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345776332
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1306345782193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345802893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345841962
